Date,ServiceID,ClientID,Quantity,Time
22/02/2023,9,1009,3,62.57
12/01/2023,10,1010,7,70.85
29/06/2023,6,1005,1,39.68
20/05/2023,9,1006,1,88.27
10/03/2023,3,1004,6,63.41
14/04/2023,8,1004,1,73.3
29/04/2023,8,1001,7,68.01
28/06/2023,2,1003,8,27.89
28/03/2023,7,1009,5,35.47
11/05/2023,4,1001,8,75.3
23/03/2023,5,1001,9,11.64
19/06/2023,7,1003,8,31
14/06/2023,2,1005,2,40.62
13/01/2023,6,1005,5,84.98
17/04/2023,6,1005,1,56.9
22/05/2023,6,1004,5,50.16
10/06/2023,3,1010,6,52.94
06/03/2023,2,1005,7,27.99
25/03/2023,9,1003,8,26.07
11/01/2023,10,1002,1,91.23
27/03/2023,6,1009,7,16.57
15/06/2023,9,1001,8,35.04
21/05/2023,9,1009,5,89.2
18/01/2023,10,1001,4,12.85
29/05/2023,1,1003,5,78.32
20/06/2023,5,1003,4,50.67
26/02/2023,5,1002,9,52.74
18/01/2023,4,1005,8,90.01
14/03/2023,8,1006,3,28.48
16/04/2023,1,1004,8,81.19
29/03/2023,6,1007,1,66.76
17/03/2023,8,1009,6,65.7
26/06/2023,3,1001,2,61.93
20/04/2023,8,1002,2,87.11
29/04/2023,5,1003,7,54.88
03/02/2023,8,1007,7,67.12
02/06/2023,6,1004,5,16.99
28/05/2023,10,1001,8,61.54
11/02/2023,1,1004,7,15.1
09/05/2023,7,1007,1,80.51
17/01/2023,5,1004,2,11.5
13/06/2023,5,1005,5,86.72
02/06/2023,4,1001,6,18.59
06/05/2023,1,1008,4,94.15
13/05/2023,5,1008,8,88.87
10/06/2023,6,1001,6,32.58
12/03/2023,7,1004,9,32.8
19/03/2023,4,1005,1,28.38
12/02/2023,4,1002,9,34.59
04/02/2023,8,1009,2,66.88
21/02/2023,8,1004,3,37.98
06/03/2023,2,1005,5,49.63
05/04/2023,3,1006,9,30.7
16/02/2023,3,1010,5,13.3
16/04/2023,5,1005,3,48.45
12/04/2023,3,1009,5,17.64
09/03/2023,4,1001,8,64.07
20/05/2023,10,1005,8,37
25/06/2023,8,1010,7,97.09
31/05/2023,8,1003,3,12.45
18/02/2023,1,1009,5,91.97
21/06/2023,4,1001,8,20.21
02/04/2023,1,1009,8,25.54
20/02/2023,4,1002,6,68.19
10/01/2023,7,1008,2,23.36
